epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,0.30022611760646106,0.8666,0.25123608159646393,0.904,0.21085058338567614,0.909
2,0.12579858916066586,0.958,0.24403856460005044,0.917,0.22061312735453248,0.916
3,0.0655210275163874,0.9804,0.31561621218919755,0.907,0.2895398503858596,0.916
4,0.036595873723272235,0.9906,0.41564086676575246,0.903,0.33289248662441967,0.913
5,0.030693688148073852,0.9914,0.37798924888996405,0.906,0.31687202519085256,0.917
6,0.019562057345407082,0.995,0.42161841478873974,0.908,0.3866244183448143,0.898
7,0.024409187592426315,0.9922,0.33217410651920365,0.906,0.26141387690557166,0.92
8,0.018015779041685165,0.9938,0.589987365339417,0.904,0.461106716135866,0.92
9,0.009718042924738256,0.9978,0.47982716829591665,0.896,0.4065048792931484,0.903
10,0.011524624424846842,0.995,0.5100255380488816,0.908,0.4487806289597065,0.911
